ticket_key,snapshot_id,event_id,game,tip_et,player,market,recommended_side,point,tier,selected_book,selected_price_american,play_to_american,model_p_hit,best_ev,actual_stat_value,result,graded_price_american,stake_units,pnl_units,graded_at_utc,grading_notes
b9067aea5dfa750b,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Brandon Miller,player_points_rebounds_assists,over,32.5,B,draftkings,-119,-176,0.6699687041564792,0.232968,,,,,,,
f7f3707706c409d7,daily-20260211T230026Z,fa53065fb88985857fe9cfe5372477dc,New York Knicks @ Philadelphia 76ers,07:30 PM ET,Tyrese Maxey,player_threes,over,3.5,A,draftkings,-110,-168,0.6458193384223918,0.232928,,,,,,,
62b030348c609855,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Grant Williams,player_points,over,10.5,A,draftkings,-105,-158,0.6314767295597483,0.232883,,,,,,,
31587eeca7103382,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Ryan Kalkbrenner,player_points,over,9.5,B,fanduel,-104,-149,0.6284406203101549,0.23271,,,,,,,
d6f1ac1a12bac80f,daily-20260211T230026Z,8cdd1f682ca6ed36e908ecf3b00f01bc,Indiana Pacers @ Brooklyn Nets,07:40 PM ET,Kam Jones,player_assists,over,4.5,A,draftkings,-143,-238,0.724927577347179,0.23187,,,,,,,
7109f3e52f2d593e,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Sion James,player_rebounds,over,3.5,A,draftkings,113,-128,0.5778152671755725,0.230747,,,,,,,
94a383c350294a05,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Kon Knueppel,player_points,over,20.5,A,draftkings,-107,-161,0.6356821578153795,0.229778,,,,,,,
8a9f36eab5f4011c,daily-20260211T230026Z,1e29ea38e9c7789166418c9a3544bff9,Washington Wizards @ Cleveland Cavaliers,07:10 PM ET,Dennis Schroder,player_points,over,8.5,B,draftkings,-115,-168,0.6576554124246832,0.22953,,,,,,,
f4c487c799a010c4,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,LaMelo Ball,player_points,over,22.5,A,draftkings,-110,-167,0.6440193384223918,0.229491,,,,,,,
90963924b0f8364a,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Paul Reed Jr,player_points,over,11.5,A,fanduel,-122,-191,0.6756470140416174,0.229456,,,,,,,
d89510e113a59a8f,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,R.J. Barrett,player_points,over,17.5,A,draftkings,-102,-152,0.6206284439486894,0.229088,,,,,,,
f9b1417009f8e392,daily-20260211T230026Z,fa53065fb88985857fe9cfe5372477dc,New York Knicks @ Philadelphia 76ers,07:30 PM ET,Karl-Anthony Towns,player_threes,over,1.5,A,fanduel,114,-126,0.5743128572451829,0.22903,,,,,,,
d18b74f7b9c42fe3,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,LaMelo Ball,player_rebounds,over,5.5,A,fanduel,112,-128,0.5789836734693877,0.227445,,,,,,,
a65b1e49aa4497ba,daily-20260211T230026Z,fa53065fb88985857fe9cfe5372477dc,New York Knicks @ Philadelphia 76ers,07:30 PM ET,Landry Shamet,player_rebounds,over,2.5,B,fanduel,104,-134,0.6015151931056495,0.227091,,,,,,,
46010ca32d552e31,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Tidjane Salaun,player_rebounds,over,4.5,A,draftkings,123,-115,0.5501859477238532,0.226915,,,,,,,
bef27e3aa5aed7d4,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,LaMelo Ball,player_points_rebounds_assists,over,35.5,B,draftkings,-124,-183,0.6790600227235839,0.226689,,,,,,,
e566822f6bf89391,daily-20260211T230026Z,8cdd1f682ca6ed36e908ecf3b00f01bc,Indiana Pacers @ Brooklyn Nets,07:40 PM ET,Danny Wolf,player_assists,over,2.5,A,fanduel,-146,-240,0.7273785378366823,0.225583,,,,,,,
a5f8c986ce177f96,daily-20260211T230026Z,1e29ea38e9c7789166418c9a3544bff9,Washington Wizards @ Cleveland Cavaliers,07:10 PM ET,Jarrett Allen,player_points,over,15.5,B,fanduel,-120,-175,0.668071190674438,0.224797,,,,,,,
1e299d2c29dd28de,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Ausar Thompson,player_assists,over,2.5,B,draftkings,113,-121,0.5741419301869802,0.222922,,,,,,,
1b13ee321b42e3d3,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Brandon Ingram,player_points_rebounds_assists,over,29.5,A,draftkings,-113,-170,0.64853258897418,0.222455,,,,,,,
d80e34627f7190d1,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Brandon Miller,player_points,over,23.5,B,fanduel,-111,-158,0.6430445875753168,0.222364,,,,,,,
0ab67bb07ac1d346,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Jalen Johnson,player_assists,over,7.5,A,draftkings,-118,-179,0.6614751839808317,0.222047,,,,,,,
d28ff79eb9d8a9bc,daily-20260211T230026Z,8cdd1f682ca6ed36e908ecf3b00f01bc,Indiana Pacers @ Brooklyn Nets,07:40 PM ET,Jay Huff,player_threes,over,1.5,A,draftkings,-128,-199,0.685856722276742,0.221682,,,,,,,
cd468a22ccfb402f,daily-20260211T230026Z,1e29ea38e9c7789166418c9a3544bff9,Washington Wizards @ Cleveland Cavaliers,07:10 PM ET,Kyshawn George,player_rebounds,over,4.5,A,fanduel,110,-129,0.5811284853521711,0.22037,,,,,,,
61f0fbd00aca93c5,daily-20260211T230026Z,1e29ea38e9c7789166418c9a3544bff9,Washington Wizards @ Cleveland Cavaliers,07:10 PM ET,Justin Champagnie,player_points,over,9.5,A,draftkings,-121,-185,0.6680316690442227,0.220124,,,,,,,
2789ca1dc2695f4d,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Kon Knueppel,player_assists,over,4.5,A,fanduel,114,-124,0.5699131789881817,0.219614,,,,,,,
bcd296c9d1d7f984,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Brandon Miller,player_threes,over,3.5,A,fanduel,118,-119,0.5593717836540324,0.21943,,,,,,,
811ddf77eaba8523,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Brandon Miller,player_rebounds,over,5.5,A,fanduel,100,-145,0.6092613583138173,0.218523,,,,,,,
45f272c0fe43b78e,daily-20260211T230026Z,1e29ea38e9c7789166418c9a3544bff9,Washington Wizards @ Cleveland Cavaliers,07:10 PM ET,Will Riley,player_points,over,12.5,B,draftkings,-121,-174,0.6668631951676736,0.21799,,,,,,,
8837d8ef982a2c45,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Tobias Harris,player_points,over,14.5,A,draftkings,-128,-197,0.6834256198347108,0.217352,,,,,,,
1add2d0477a35214,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Cade Cunningham,player_assists,over,8.5,A,fanduel,-113,-168,0.6456413164579528,0.217005,,,,,,,
9a48d96dd96b8829,daily-20260211T230026Z,1e29ea38e9c7789166418c9a3544bff9,Washington Wizards @ Cleveland Cavaliers,07:10 PM ET,Donovan Mitchell,player_rebounds,over,4.5,A,draftkings,122,-114,0.5479881077667859,0.216534,,,,,,,
b0e3d5a6f9d69c2b,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Brandon Ingram,player_points,over,20.5,A,draftkings,-106,-155,0.6253424598157846,0.215288,,,,,,,
3581406952c50fbf,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Cade Cunningham,player_rebounds,over,5.5,A,fanduel,102,-140,0.6011589092201101,0.214341,,,,,,,
218f33dc8edec6c1,daily-20260211T230026Z,fa53065fb88985857fe9cfe5372477dc,New York Knicks @ Philadelphia 76ers,07:30 PM ET,VJ Edgecombe,player_threes,over,1.5,A,draftkings,-165,-276,0.7559415603678434,0.214088,,,,,,,
5715da345cbc4e50,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Scottie Barnes,player_points_rebounds_assists,over,31.5,A,draftkings,-119,-178,0.6592284457478006,0.213202,,,,,,,
6eee9321b0da6055,daily-20260211T230026Z,8cdd1f682ca6ed36e908ecf3b00f01bc,Indiana Pacers @ Brooklyn Nets,07:40 PM ET,Kam Jones,player_rebounds,over,3.5,A,draftkings,-127,-193,0.6784986833443055,0.21275,,,,,,,
